user_id,question_id,pleasant,intense,stimulating,complex
22,4,2,4,6,6
23,4,3,3,3,1
24,4,3,3,3,2
25,4,8,5,7,5
26,4,6,4,5,4
27,4,6,9,6,9
28,4,4,8,6,7
29,4,4,4,7,3
1,5,7,4,8,7
2,5,6,6,6,5
3,5,3,5,7,6
4,5,8,5,7,3
5,5,3,7,7,8
6,5,8,4,6,4
7,5,1,9,8,10
8,5,5,3,5,1
9,5,8,2,3,3
10,5,8,3,4,9
11,5,4,7,6,3
12,5,7,3,6,1
13,5,6,5,4,9
14,5,7,8,8,4
15,5,5,4,4,7
16,5,5,4,4,3
17,5,7,5,7,8
18,5,5,3,3,5
19,5,5,4,5,5
20,5,6,4,4,6
21,5,3,2,2,1
22,5,1,5,5,3
23,5,3,3,3,1
24,5,7,5,7,7
25,5,7,4,7,3
26,5,4,6,6,5
27,5,7,4,8,5
28,5,4,8,8,8
29,5,7,6,3,2
1,6,5,6,8,8
2,6,8,9,9,7
3,6,7,3,3,3
4,6,4,4,7,6
5,6,4,6,6,7
6,6,5,3,4,5
7,6,1,7,7,10
8,6,5,6,4,6
9,6,5,7,4,7
10,6,2,9,8,6
11,6,3,6,7,7
12,6,2,6,8,7
13,6,7,8,8,9
14,6,6,6,4,3
15,6,2,8,8,7
16,6,5,4,4,3
17,6,7,6,7,8
18,6,5,4,3,6
19,6,3,8,7,6
20,6,2,7,6,7
21,6,3,2,2,1
22,6,2,4,4,5
23,6,3,3,4,1
24,6,6,6,7,7
25,6,5,5,3,5
26,6,6,5,5,4
27,6,7,3,5,6
28,6,7,4,5,5
29,6,3,6,4,2
1,7,9,2,2,2
2,7,6,5,6,5
3,7,5,4,5,7
4,7,9,7,7,5
5,7,3,6,4,4
6,7,8,6,6,8
7,7,4,4,5,5
8,7,5,4,3,3
9,7,4,5,8,6
10,7,6,6,6,5
11,7,5,5,6,6
12,7,6,4,4,3
13,7,7,6,7,8
14,7,8,6,6,6
15,7,5,4,7,5
16,7,5,4,4,3
17,7,7,7,7,8
18,7,4,3,3,3
19,7,1,9,8,8
20,7,3,4,3,5
21,7,3,2,2,1
22,7,2,4,5,3
23,7,3,2,2,1
24,7,4,6,6,7
25,7,3,7,5,5
26,7,5,5,5,3
27,7,6,6,5,4
28,7,5,3,6,3
29,7,7,7,3,2
1,8,9,7,9,8
2,8,9,8,9,6
3,8,2,4,4,7
4,8,3,6,7,4
5,8,3,5,4,5
6,8,5,5,7,6
7,8,1,3,3,7
8,8,5,6,4,6
9,8,6,4,4,4
10,8,8,2,7,8
11,8,4,5,5,5
12,8,2,8,8,8
13,8,6,6,7,8
14,8,8,7,5,5
15,8,8,3,3,2
16,8,5,4,4,3
17,8,7,6,7,8
18,8,5,3,3,4
19,8,2,7,7,7
20,8,5,3,5,5
21,8,3,2,2,1
22,8,3,3,3,2
23,8,3,2,2,1
24,8,3,5,5,5
25,8,4,7,4,4
26,8,3,5,6,3
27,8,5,6,5,6
28,8,4,9,8,8
29,8,4,7,7,3
