user_id,embody,valence,arousal,emotion,depiction
19,4,3,4,Excitement,Anxiety
20,3,1,4,Anxiety,Anxiety
21,3,2,4,Anxiety,Anxiety
22,2,1,4,Excitement,Anxiety
23,4,5,4,Excitement,Anxiety
24,5,5,5,Excitement,Anxiety
25,4,5,4,Anxiety,Anxiety
26,4,3,4,Serenity,Anxiety
27,5,1,2,Anxiety,Anxiety
28,5,5,5,Anxiety,Anxiety
29,3,1,1,Anxiety,Anxiety
30,3,2,4,Anxiety,Anxiety
31,4,4,4,Excitement,Anxiety
32,2,3,5,Excitement,Anxiety
33,3,1,4,Anxiety,Anxiety
34,4,4,4,Anxiety,Anxiety
35,4,3,3,Excitement,Anxiety
36,3,2,4,Anxiety,Anxiety
37,1,3,4,Excitement,Anxiety
38,4,4,4,Excitement,Anxiety
39,3,3,3,Depression,Anxiety
40,1,1,5,Anxiety,Anxiety
41,1,3,2,Excitement,Anxiety
42,1,3,4,Anxiety,Anxiety
43,4,4,3,Excitement,Anxiety
44,1,2,4,Anxiety,Anxiety
45,3,4,5,Excitement,Anxiety
46,5,5,1,Serenity,Anxiety
47,4,5,5,Excitement,Anxiety
48,4,2,5,Anxiety,Anxiety
49,2,2,2,Anxiety,Anxiety
50,4,3,3,Anxiety,Anxiety
1,2,4,3,Excitement,Serenity
2,4,4,4,Serenity,Serenity
3,3,3,3,Anxiety,Serenity
4,1,1,2,Depression,Serenity
5,3,4,3,Serenity,Serenity
6,3,3,3,Serenity,Serenity
7,4,3,4,Serenity,Serenity
8,5,5,5,Serenity,Serenity
9,4,4,4,Serenity,Serenity
10,5,5,4,Serenity,Serenity
11,5,4,2,Serenity,Serenity
12,3,4,3,Serenity,Serenity
13,4,3,3,Depression,Serenity
14,4,4,4,Serenity,Serenity
15,3,3,2,Serenity,Serenity
16,4,4,1,Serenity,Serenity
17,3,4,1,Serenity,Serenity
18,3,5,5,Serenity,Serenity
19,4,3,1,Depression,Serenity
20,4,4,2,Serenity,Serenity
21,5,4,4,Serenity,Serenity
22,3,1,2,Serenity,Serenity
23,5,5,5,Serenity,Serenity
24,5,4,4,Serenity,Serenity
25,5,4,1,Serenity,Serenity
26,4,4,4,Serenity,Serenity
27,1,5,1,Serenity,Serenity
28,3,3,1,Serenity,Serenity
29,5,4,4,Serenity,Serenity
30,5,4,5,Serenity,Serenity
31,5,5,3,Excitement,Serenity
32,4,5,5,Serenity,Serenity
33,3,4,3,Serenity,Serenity
34,5,5,4,Serenity,Serenity
35,3,3,3,Excitement,Serenity
36,2,3,2,Anxiety,Serenity
37,3,2,2,Depression,Serenity
38,3,4,2,Serenity,Serenity
39,5,5,1,Serenity,Serenity
40,4,2,2,Depression,Serenity
41,5,5,5,Serenity,Serenity
42,5,4,2,Serenity,Serenity
43,3,3,4,Excitement,Serenity
44,3,3,3,Serenity,Serenity
45,5,5,1,Excitement,Serenity
46,3,3,3,Depression,Serenity
47,5,5,5,Excitement,Serenity
48,4,4,2,Serenity,Serenity
49,3,3,3,Serenity,Serenity
50,3,3,3,Serenity,Serenity
